accordion,a_musical_instrument,28
accordion,has_keys,17
accordion,requires_air,11
accordion,associated_with_polkas,9
accordion,has_buttons,8
accordion,used_by_moving_bellows,8
accordion,inbeh_-_produces_music,6
accordion,is_loud,6
accordion,worn_on_chest,6
airplane,beh_-_flies,25
airplane,has_wings,20
airplane,used_for_passengers,15
airplane,is_fast,11
airplane,requires_pilots,11
airplane,used_for_transportation,10
airplane,found_in_airports,8
airplane,is_large,8
airplane,made_of_metal,8
airplane,inbeh_-_crashes,7
airplane,used_for_travel,7
airplane,has_a_propeller,5
airplane,has_engines,5
alligator,has_teeth,22
alligator,is_green,19
alligator,an_animal,16
alligator,is_long,14
alligator,a_reptile,13
alligator,lives_in_swamps,12
alligator,has_scales,11
alligator,lives_in_water,11
alligator,has_a_tail,9
alligator,is_scary,8
alligator,beh_-_swims,6
alligator,has_a_mouth,6
alligator,lives_in_Florida,6
alligator,beh_-_eats_people,5
alligator,has_jaws,5
alligator,is_dangerous,5
ambulance,has_a_siren,25
ambulance,has_flashing_lights,18
ambulance,is_fast,17
ambulance,is_white,17
ambulance,used_by_hospitals,13
ambulance,used_for_emergencies,13
ambulance,a_vehicle,9
ambulance,requires_caregivers,9
ambulance,has_4_wheels,8
ambulance,is_red,8
ambulance,used_by_sick_people,8
ambulance,used_for_injuries,7
ambulance,a_van,6
ambulance,is_large,6
ambulance,is_loud,5
ambulance,is_orange,5
ambulance,used_by_paramedics,5
ambulance,used_for_rescuing,5
ambulance,used_for_transportation,5
anchor,is_heavy,22
anchor,made_of_metal,21
anchor,found_on_boats,19
anchor,used_for_holding_boats_still,11
anchor,inbeh_-_sinks,8
anchor,used_for_staying_stationary,8
anchor,found_in_water,7
anchor,made_of_iron,7
anchor,is_attached_to_chains,6
anchor,is_large,6
anchor,used_on_boats,6
anchor,an_inanimate,5
anchor,is_attached_to_ropes,5
anchor,used_by_sailors,5
ant,an_insect,18
ant,is_small,18
ant,is_black,15
ant,lives_in_ground,12
ant,is_strong,11
ant,is_red,9
ant,lives_in_a_hill,9
ant,lives_in_a_colony,8
ant,has_6_legs,6
ant,beh_-_bites,5
ant,beh_-_crawls,5
ant,has_antennae,5
apartment,used_for_living_in,20
apartment,has_bedrooms,17
apartment,found_in_buildings,16
apartment,requires_rent,14
apartment,has_a_kitchen,11
apartment,is_small,11
apartment,has_a_bathroom,9
apartment,has_a_bedroom,9
apartment,has_tenants,9
apartment,associated_with_2_bedrooms,8
apartment,is_furnished,8
apartment,requires_a_landlord,8
apartment,a_house,7
apartment,has_a_balcony,7
apartment,made_of_brick,6
