0,musical_instrument,accordion
1,vehicle,airplane
2,reptile,alligator
3,vehicle,ambulance
4,UNKNOWN,anchor
5,invertebrate,ant
6,building,apartment
7,fruit,apple
8,clothing,apron
9,weapon,armour
10,furniture,ashtray
11,vegetable,asparagus
12,vegetable,avocado
13,weapon,axe
14,UNKNOWN,bag
15,musical_instrument,bagpipe
16,toy,ball
17,toy,balloon
18,fruit,banana
19,musical_instrument,banjo
20,UNKNOWN,banner
21,building,barn
22,UNKNOWN,barrel
23,room,basement
24,UNKNOWN,basket
25,mammal,bat_(animal)
26,toy,bat_(baseball)
27,furniture,bathtub
28,toy,baton
29,weapon,bayonet
30,weapon,bazooka
31,vegetable,beans
32,mammal,bear
33,mammal,beaver
34,furniture,bed
35,room,bedroom
36,UNKNOWN,beehive
37,invertebrate,beetle
38,vegetable,beets
39,clothing,belt
40,furniture,bench
41,vehicle,bike
42,furniture,bin_(waste)
43,plant,birch
44,UNKNOWN,biscuit
45,mammal,bison
46,bird,blackbird
47,kitchen,blender
48,clothing,blouse
49,fruit,blueberry
50,bird,bluejay
51,furniture,board_(black)
52,tool,board_(wood)
53,vehicle,boat
54,tool,bolts
55,weapon,bomb
56,UNKNOWN,book
57,furniture,bookcase
58,clothing,boots
59,kitchen,bottle
60,plant,bouquet
61,clothing,bow_(ribbon)
62,weapon,bow_(weapon)
63,kitchen,bowl
64,UNKNOWN,box
65,clothing,bra
66,UNKNOWN,bracelet
67,UNKNOWN,bread
68,tool,brick
69,building,bridge
70,vegetable,broccoli
71,tool,broom
72,tool,brush
73,tool,bucket
74,clothing,buckle
75,bird,budgie
76,mammal,buffalo
77,vehicle,buggy
78,building,building
79,mammal,bull
80,weapon,bullet
81,building,bungalow
82,furniture,bureau
83,vehicle,bus
84,invertebrate,butterfly
85,bird,buzzard
86,vegetable,cabbage
87,building,cabin
88,furniture,cabinet
89,UNKNOWN,cage
90,UNKNOWN,cake
91,mammal,calf
92,mammal,camel
93,clothing,camisole
94,bird,canary
95,furniture,candle
96,weapon,cannon
97,vehicle,canoe
98,fruit,cantaloupe
99,kitchen,cap_(bottle)
100,clothing,cap_(hat)
101,clothing,cape
102,vehicle,car
103,UNKNOWN,card_(greeting)
104,mammal,caribou
105,furniture,carpet
106,vegetable,carrot
107,vehicle,cart
108,mammal,cat
109,weapon,catapult
110,invertebrate,caterpillar
111,fish,catfish
112,building,cathedral
113,vegetable,cauliflower
114,plant,cedar
115,vegetable,celery
116,room,cellar
117,musical_instrument,cello
118,UNKNOWN,certificate
119,UNKNOWN,chain
120,furniture,chair
121,furniture,chandelier
122,building,chapel
123,UNKNOWN,cheese
124,mammal,cheetah
125,fruit,cherry
126,bird,chickadee
127,bird,chicken
128,mammal,chimp
129,mammal,chipmunk
130,tool,chisel
131,building,church
132,UNKNOWN,cigar
133,UNKNOWN,cigarette
134,invertebrate,clam
135,tool,clamp
136,musical_instrument,clarinet
137,clothing,cloak
138,furniture,clock
139,room,closet
140,clothing,coat
141,invertebrate,cockroach
142,fruit,coconut
143,fish,cod
144,UNKNOWN,coin
145,kitchen,colander
146,tool,comb
147,UNKNOWN,cork
148,kitchen,corkscrew
149,vegetable,corn
150,building,cottage
151,furniture,couch
152,mammal,cougar
153,mammal,cow
154,mammal,coyote
155,invertebrate,crab
156,fruit,cranberry
157,vehicle,crane_(machine)
158,toy,crayon
159,reptile,crocodile
160,weapon,crossbow
161,bird,crow
162,tool,crowbar
163,clothing,crown
164,vegetable,cucumber
165,kitchen,cup
166,furniture,cupboard
167,furniture,curtains
168,furniture,cushion
169,weapon,dagger
170,plant,dandelion
171,mammal,deer
172,furniture,desk
173,kitchen,dish
174,kitchen,dishwasher
175,mammal,dog
176,toy,doll
177,mammal,dolphin
178,mammal,donkey
179,furniture,door
180,furniture,doorknob
181,bird,dove
182,kitchen,drain
183,furniture,drapes
184,clothing,dress
185,furniture,dresser
186,tool,drill
187,musical_instrument,drum
188,bird,duck
189,vehicle,dunebuggy
190,bird,eagle
191,clothing,earmuffs
192,fish,eel
193,vegetable,eggplant
194,mammal,elephant
195,room,elevator
196,mammal,elk
197,UNKNOWN,emerald
198,bird,emu
199,UNKNOWN,envelope
200,room,escalator
201,bird,falcon
202,furniture,fan_(appliance)
203,kitchen,faucet
204,mammal,fawn
205,building,fence
206,bird,finch
207,bird,flamingo
208,invertebrate,flea
209,musical_instrument,flute
210,toy,football
211,kitchen,fork
212,mammal,fox
213,kitchen,freezer
214,kitchen,fridge
215,reptile,frog
216,room,garage
217,vegetable,garlic
218,building,gate
219,mammal,giraffe
220,clothing,gloves
221,mammal,goat
222,fish,goldfish
223,bird,goose
224,mammal,gopher
225,mammal,gorilla
226,clothing,gown
227,fruit,grape
228,fruit,grapefruit
229,invertebrate,grasshopper
230,kitchen,grater
231,weapon,grenade
232,mammal,groundhog
233,musical_instrument,guitar
234,weapon,gun
235,fish,guppy
236,tool,hammer
237,mammal,hamster
238,mammal,hare
239,musical_instrument,harmonica
240,musical_instrument,harp
241,weapon,harpoon
242,musical_instrument,harpsichord
243,weapon,hatchet
244,bird,hawk
245,vehicle,helicopter
246,weapon,helmet
247,tool,hoe
248,fruit,honeydew
249,UNKNOWN,hook
250,invertebrate,hornet
251,mammal,horse
252,tool,hose
253,clothing,hose_(leggings)
254,building,house
255,invertebrate,housefly
256,building,hut
257,mammal,hyena
258,reptile,iguana
259,building,inn
260,clothing,jacket
261,kitchen,jar
262,clothing,jeans
263,vehicle,jeep
264,vehicle,jet
265,kitchen,kettle
266,UNKNOWN,key
267,musical_instrument,keyboard_(musical)
268,tool,kite
269,weapon,knife
270,kitchen,ladle
271,mammal,lamb
272,furniture,lamp
273,furniture,lantern
274,fruit,lemon
275,mammal,leopard
276,clothing,leotards
277,vegetable,lettuce
278,tool,level
279,fruit,lime
280,vehicle,limousine
281,mammal,lion
282,invertebrate,lobster
283,weapon,machete
284,fish,mackerel
285,UNKNOWN,magazine
286,fruit,mandarin
287,toy,marble
288,furniture,mat
289,UNKNOWN,medal
290,UNKNOWN,menu
291,tool,microscope
292,kitchen,microwave
293,mammal,mink
294,clothing,mink_(coat)
295,fish,minnow
296,furniture,mirror
297,weapon,missile
298,clothing,mittens
299,kitchen,mixer
300,mammal,mole_(animal)
301,mammal,moose
302,invertebrate,moth
303,vehicle,motorcycle
304,mammal,mouse
305,UNKNOWN,mouse_(computer)
306,kitchen,mug
307,vegetable,mushroom
308,UNKNOWN,muzzle
309,kitchen,napkin
310,UNKNOWN,necklace
311,fruit,nectarine
312,clothing,nightgown
313,bird,nightingale
314,clothing,nylons
315,plant,oak
316,invertebrate,octopus
317,vegetable,olive
318,vegetable,onions
319,fruit,orange
320,bird,oriole
321,bird,ostrich
322,mammal,otter
323,kitchen,oven
324,bird,owl
325,mammal,ox
326,tool,paintbrush
327,clothing,pajamas
328,kitchen,pan
329,mammal,panther
330,clothing,pants
331,bird,parakeet
332,clothing,parka
333,vegetable,parsley
334,bird,partridge
335,fruit,peach
336,bird,peacock
337,fruit,pear
338,UNKNOWN,pearl
339,vegetable,peas
340,toy,peg
341,bird,pelican
342,tool,pen
343,tool,pencil
344,bird,penguin
345,vegetable,pepper
346,fish,perch
347,bird,pheasant
348,musical_instrument,piano
349,vegetable,pickle
350,UNKNOWN,pie
351,building,pier
352,mammal,pig
353,bird,pigeon
354,furniture,pillow
355,clothing,pin
356,plant,pine
357,fruit,pineapple
358,tool,pipe_(plumbing)
359,UNKNOWN,pipe_(smoking)
360,weapon,pistol
361,kitchen,plate
362,mammal,platypus
363,tool,pliers
364,tool,plug_(electric)
365,fruit,plum
366,mammal,pony
367,mammal,porcupine
368,furniture,pot
369,vegetable,potato
370,UNKNOWN,projector
371,fruit,prune
372,vegetable,pumpkin
373,building,pyramid
374,reptile,python
375,mammal,rabbit
376,mammal,raccoon
377,toy,racquet
378,UNKNOWN,radio
379,vegetable,radish
380,vehicle,raft
381,fruit,raisin
382,tool,rake
383,fruit,raspberry
384,mammal,rat
385,toy,rattle
386,reptile,rattlesnake
387,bird,raven
388,tool,razor
389,weapon,revolver
390,fruit,rhubarb
391,UNKNOWN,rice
392,weapon,rifle
393,UNKNOWN,ring_(jewelry)
394,clothing,robe
395,bird,robin
396,UNKNOWN,rock
397,furniture,rocker
398,vehicle,rocket
399,bird,rooster
400,tool,rope
401,tool,ruler
402,UNKNOWN,sack
403,UNKNOWN,saddle
404,vehicle,sailboat
405,reptile,salamander
406,fish,salmon
407,clothing,sandals
408,tool,sandpaper
409,fish,sardine
410,kitchen,saucer
411,musical_instrument,saxophone
412,clothing,scarf
413,tool,scissors
414,vehicle,scooter
415,tool,screwdriver
416,tool,screws
417,bird,seagull
418,mammal,seal
419,plant,seaweed
420,building,shack
421,clothing,shawl
422,building,shed
423,mammal,sheep
424,UNKNOWN,shell
425,furniture,shelves
426,weapon,shield
427,vehicle,ship
428,clothing,shirt
429,clothing,shoes
430,weapon,shotgun
431,tool,shovel
432,invertebrate,shrimp
433,furniture,sink
434,toy,skateboard
435,kitchen,skillet
436,clothing,skirt
437,UNKNOWN,skis
438,mammal,skunk
439,building,skyscraper
440,toy,sled
441,tool,sledgehammer
442,vehicle,sleigh
443,weapon,slingshot
444,clothing,slippers
445,invertebrate,snail
446,clothing,socks
447,furniture,sofa
448,tool,spade
449,bird,sparrow
450,kitchen,spatula
451,weapon,spear
452,invertebrate,spider
453,vegetable,spinach
454,kitchen,spoon
455,fish,squid
456,mammal,squirrel
457,bird,starling
458,UNKNOWN,stereo
459,weapon,stick
460,UNKNOWN,stone
461,furniture,stool_(furniture)
462,bird,stork
463,kitchen,stove
464,kitchen,strainer
465,fruit,strawberry
466,vehicle,submarine
467,vehicle,subway
468,vehicle,surfboard
469,bird,swan
470,clothing,sweater
471,clothing,swimsuit
472,weapon,sword
473,furniture,table
474,tool,tack
475,fruit,tangerine
476,vehicle,tank_(army)
477,UNKNOWN,tank_(container)
478,kitchen,tap
479,tool,tape_(scotch)
480,vehicle,taxi
481,UNKNOWN,telephone
482,building,tent
483,tool,thermometer
484,tool,thimble
485,clothing,tie
486,mammal,tiger
487,reptile,toad
488,kitchen,toaster
489,furniture,toilet
490,weapon,tomahawk
491,fruit,tomato
492,kitchen,tongs
493,reptile,tortoise
494,toy,toy
495,vehicle,tractor
496,building,trailer
497,vehicle,train
498,kitchen,tray
499,toy,tricycle
500,UNKNOWN,tripod
501,vehicle,trolley
502,musical_instrument,trombone
503,clothing,trousers
504,fish,trout
505,vehicle,truck
506,musical_instrument,trumpet
507,musical_instrument,tuba
508,fish,tuna
509,bird,turkey
510,vegetable,turnip
511,reptile,turtle
512,UNKNOWN,typewriter
513,tool,umbrella
514,vehicle,unicycle
515,UNKNOWN,urn
516,vehicle,van
517,clothing,veil
518,clothing,vest
519,plant,vine
520,musical_instrument,violin
521,bird,vulture
522,vehicle,wagon
523,furniture,wall
524,plant,walnut
525,mammal,walrus
526,UNKNOWN,wand
527,invertebrate,wasp
528,mammal,whale
529,UNKNOWN,wheel
530,tool,wheelbarrow
531,weapon,whip
